Label/Short Name,Description,Value Set Code. Search in PHIN VADS using the following link (https://phinvads.cdc.gov/vads/SearchHome.action),Approved by OMB
Did the patient have a cough?,Did the patient's illness include the symptom of cough?,PHVS_YesNoUnknown_CDC,
Cough Onset Date,Cough onset date,,
Paroxysmal Cough,Did the patient's illness include the symptom of paroxysmal cough?,PHVS_YesNoUnknown_CDC,
Whoop,Did the patient's illness include the symptom of whoop?,PHVS_YesNoUnknown_CDC,
Post-tussive Vomiting,Did the patient's illness include the symptom of post-tussive vomiting?,PHVS_YesNoUnknown_CDC,
Apnea,Did the patient's illness include the symptom of apnea?,PHVS_YesNoUnknown_CDC,
Date of Final Interview,Date of the patient's final interview,,
Did the patient have a cough at final interview?,Was there a cough at the patient's final interview?,PHVS_YesNoUnknown_CDC,
Total Cough Duration,What was the duration (in days) of the patient's cough?,,
Result of chest X-ray for pneumonia,Result of chest x-ray for pneumonia,PHVS_ChestXrayResult_CDC,
Did the patient have generalized or focal seizures due to pertussis?,Did the patient have generalized or focal seizures due to pertussis?,PHVS_YesNoUnknown_CDC,
Did the patient have acute encephalopathy due to pertussis?,Did the patient have acute encephalopathy due to pertussis?,PHVS_YesNoUnknown_CDC,
Were antibiotics given?,Were antibiotics given to the patient?,PHVS_YesNoUnknown_CDC,
Antibiotic Name,What antibiotic did the patient receive?,PHVS_AntibioticReceived_Pertussis,
Antibiotic Start Date,Date the patient first started taking the antibiotic,,
Number of days antibiotic actually taken.,Number of days the patient actually took the antibiotic referenced,,
Second antibiotic patient received?,"If Other, please specify antibiotic",PHVS_AntibioticReceived_Pertussis,
Date second antibiotic started,Date second antibiotic started,,
Number of days second antibiotic actually taken,Number of days second antibiotic actually taken,,
Was laboratory testing done for pertussis?,Was laboratory testing done for pertussis?,PHVS_YesNoUnknown_CDC,
Test Type,Epidemiologic interpretation of the type of test(s) performed for this case,PHVS_LabTestProcedure_Pertussis,
Test Result,Epidemiologic interpretation of the results of the tests performed for this case.,PHVS_LabTestInterpretation_Pertussis,
Date Collected,Date of specimen collection,,
Did the subject ever receive a disease-containing vaccine?,Did the patient ever receive a pertussis-containing vaccine?,PHVS_YesNoUnknown_CDC,
Vaccine Administered,The type of vaccine administered. ,PHVS_VaccinesAdministeredCVX_CDC_NIP,
Vaccine Manufacturer,Manufacturer of the vaccine.  ,PHVS_ManufacturersOfVaccinesMVX_CDC_NIP,
Vaccine Lot Number,The vaccine lot number of the vaccine administered.  ,,
Vaccine Administered Date,The date that the vaccine was administered.  ,,
Is this case epi-linked to a laboratory-confirmed case?,Is this case epi-linked to a laboratory-confirmed case?,PHVS_YesNoUnknown_CDC,
Is this case part of a cluster or outbreak (e.g. total is 2 or more cases)?,Is this case part of a cluster or outbreak (e.g. total is 2 or more cases)?,PHVS_YesNoUnknown_CDC,
Transmission Setting,Transmission setting (Where did this case acquire pertussis?),PHVS_TransmissionSetting_NND,
Was there documented transmission from this case of pertussis to a new setting? (not in household),Was there documented transmission (outside of the household) for transmission from this case?,PHVS_YesNoUnknown_CDC,
Number of contacts of this case recommended to receive antibiotic prophylaxis,Number of contacts of this case recommended to receive antibiotic prophylaxis,,
Age of person contracted patient contracted pertussis from,Age of the person from whom this patient contracted pertussis,,
Age Type,Age Type,Age_Type,
Setting where patient contracted pertussis,Transmission setting (Where did this patient acquire pertussis?),PHVS_TransmissionSetting_NND,
Specify In which setting was pertussis acquired.,setting in which pertussis was acquired,,
Specify In which setting was there secondary spread,In which setting was there secondary spread,,
Name Of Contacts,Name Of Contacts,,
Birth Date of contacts,Birth Date of contacts,,
Contact  Relationship to Subject,Relationship of contact ,"PHVS_Relationship_Flu
",
Case?,Case,,
Contact Case ID,Unique case identifier of the contact.  This would be the same as INV168 (Case Local ID) ,,
Cough Onset Date(If Present,Cough Onset Date(If Present,,
Number of PCVs*,Number of PCVs*,,
Date of Last PCV,Date of Last PCV,,
Parent's Name (If Applicable),Parent's Name (If Applicable),,
Parent's Phone # (If Applicable),Parent's Phone # (If Applicable),,
